Designator,Mid X,Mid Y,Rotation,Layer
,-6.563859,12.048426,0.0,bottom
C1,-4.413359,14.451289,90.0,top
C10,-1.065959,-9.028074,270.0,top
C11,5.408641,3.265526,90.0,top
C12,2.093641,6.366926,90.0,top
C13,5.408641,5.195926,270.0,top
C14,-4.336948,4.045515,135.0,top
C15,-4.989359,3.389926,135.0,top
C16,-3.689359,4.710926,135.0,top
C17,4.217241,-4.329074,0.0,top
C18,-5.256959,-4.557674,270.0,top
C19,-5.129959,-6.790274,270.0,top
C2,-2.031159,-7.151074,270.0,top
C20,-1.247323,20.138416,90.0,top
C21,-4.066359,17.295926,0.0,top
C22,-2.296959,19.244126,90.0,top
C23,2.333641,-13.779074,270.0,top
C24,2.358641,-16.190874,90.0,top
C3,-2.031159,-9.025474,270.0,top
C4,1.018641,7.696926,90.0,top
C5,2.583641,8.695926,90.0,top
C6,4.242641,-6.234074,0.0,top
C7,0.433641,-15.454074,270.0,top
C8,-4.291759,-4.557674,270.0,top
C9,-0.608759,-7.605674,180.0,top
R1,-5.466359,-24.279074,90.0,top
R10,0.053641,8.020927,90.0,top
R2,-4.516359,-24.279074,90.0,top
R3,-2.616359,-24.279074,90.0,top
R4,4.683641,-24.279074,90.0,top
R5,-3.566359,-24.279074,90.0,top
R6,2.783641,-24.279074,90.0,top
R7,3.733641,-24.279074,90.0,top
R8,5.633641,-24.279074,270.0,top
R9,-3.536359,6.420926,135.0,top
U10,4.588041,-14.991674,90.0,top
U2,0.0,0.0,135.0,top
U3,-1.656959,11.376289,0.0,top
U6,3.810841,-9.815474,270.0,top
U7,-3.108559,-14.721674,180.0,top
U8,2.377677,19.413416,0.0,top
U9,-4.261959,19.488126,180.0,top
